Time [s],Acceleration [mg],Time [s],Force [N]  
0.000000,1068.000,0.000000,74.291 
0.000500,1073.000,0.000250,74.291 
0.001000,1072.000,0.000500,78.201 
0.001500,1141.000,0.000750,76.246 
0.002000,1093.000,0.001000,73.314 
0.002500,256.000,0.001250,73.314 
0.003000,232.000,0.001500,74.291 
0.003500,289.000,0.001750,77.224 
0.004000,272.000,0.002000,76.246 
0.004500,228.000,0.002250,74.291 
0.005000,278.000,0.002500,74.291 
0.005500,266.000,0.002750,75.269 
0.006000,246.000,0.003000,73.314 
0.006500,314.000,0.003250,73.314 
0.007000,140.000,0.003500,74.291 
0.007500,306.000,0.003750,78.201 
0.008000,199.000,0.004000,73.314 
0.008500,209.000,0.004250,73.314 
0.009000,256.000,0.004500,73.314 
0.009500,204.000,0.004750,77.224 
0.010000,301.000,0.005000,76.246 
0.010500,277.000,0.005250,73.314 
0.011000,240.000,0.005500,74.291 
0.011500,305.000,0.005750,74.291 
0.012000,225.000,0.006000,77.224 
0.012500,290.000,0.006250,73.314 
0.013000,221.000,0.006500,73.314 
0.013500,285.000,0.006750,74.291 
0.014000,220.000,0.007000,78.201 
0.014500,320.000,0.007250,77.224 
0.015000,245.000,0.007500,73.314 
0.015500,252.000,0.007750,74.291 
0.016000,279.000,0.008000,74.291 
0.016500,265.000,0.008250,74.291 
0.017000,272.000,0.008500,77.224 
0.017500,250.000,0.008750,77.224 
0.018000,263.000,0.009000,74.291 
0.018500,290.000,0.009250,73.314 
0.019000,264.000,0.009500,75.269 
0.019500,232.000,0.009750,77.224 
0.020000,305.000,0.010000,73.314 
0.020500,294.000,0.010250,74.291 
0.021000,323.000,0.010500,74.291 
0.021500,305.000,0.010750,77.224 
0.022000,313.000,0.011000,73.314 
0.022500,305.000,0.011250,73.314 
0.023000,282.000,0.011500,74.291 
0.023500,276.000,0.011750,77.224 
0.024000,307.000,0.012000,76.246 
0.024500,300.000,0.012250,73.314 
0.025000,296.000,0.012500,73.314 
0.025500,307.000,0.012750,74.291 
0.026000,271.000,0.013000,78.201 
0.026500,275.000,0.013250,76.246 
0.027000,265.000,0.013500,73.314 
0.027500,262.000,0.013750,74.291 
0.028000,289.000,0.014000,75.269 
0.028500,313.000,0.014250,77.224 
0.029000,337.000,0.014500,73.314 
0.029500,323.000,0.014750,74.291 
0.030000,335.000,0.015000,74.291 
0.030500,299.000,0.015250,75.269 
0.031000,283.000,0.015500,77.224 
0.031500,265.000,0.015750,73.314 
0.032000,276.000,0.016000,73.314 
0.032500,284.000,0.016250,73.314 
0.033000,281.000,0.016500,74.291 
0.033500,268.000,0.016750,74.291 
0.034000,291.000,0.017000,75.269 
0.034500,279.000,0.017250,76.246 
0.035000,297.000,0.017500,76.246 
0.035500,292.000,0.017750,73.314 
0.036000,291.000,0.018000,73.314 
0.036500,338.000,0.018250,73.314 
0.037000,273.000,0.018500,74.291 
0.037500,291.000,0.018750,74.291 
0.038000,258.000,0.019000,74.291 
0.038500,313.000,0.019250,77.224 
0.039000,247.000,0.019500,77.224 
0.039500,258.000,0.019750,73.314 
0.040000,263.000,0.020000,74.291 
0.040500,296.000,0.020250,73.314 
0.041000,250.000,0.020500,73.314 
0.041500,244.000,0.020750,74.291 
0.042000,230.000,0.021000,74.291 
0.042500,264.000,0.021250,75.269 
0.043000,295.000,0.021500,77.224 
0.043500,293.000,0.021750,76.246 
0.044000,275.000,0.022000,73.314 
0.044500,314.000,0.022250,73.314 
0.045000,263.000,0.022500,73.314 
0.045500,281.000,0.022750,74.291 
0.046000,232.000,0.023000,77.224 
0.046500,238.000,0.023250,77.224 
0.047000,186.000,0.023500,73.314 
0.047500,224.000,0.023750,73.314 
0.048000,293.000,0.024000,74.291 
0.048500,292.000,0.024250,73.314 
0.049000,345.000,0.024500,75.269 
0.049500,286.000,0.024750,78.201 
0.050000,239.000,0.025000,76.246 
0.050500,250.000,0.025250,73.314 
0.051000,187.000,0.025500,74.291 
0.051500,396.000,0.025750,74.291 
0.052000,227.000,0.026000,78.201 
0.052500,316.000,0.026250,77.224 
0.053000,237.000,0.026500,73.314 
0.053500,313.000,0.026750,73.314 
0.054000,278.000,0.027000,74.291 
0.054500,219.000,0.027250,73.314 
0.055000,168.000,0.027500,75.269 
0.055500,325.000,0.027750,77.224 
0.056000,235.000,0.028000,76.246 
0.056500,251.000,0.028250,73.314 
0.057000,305.000,0.028500,73.314 
0.057500,186.000,0.028750,74.291 
0.058000,358.000,0.029000,77.224 
0.058500,198.000,0.029250,76.246 
0.059000,296.000,0.029500,74.291 
0.059500,247.000,0.029750,74.291 
0.060000,265.000,0.030000,74.291 
0.060500,248.000,0.030250,77.224 
0.061000,287.000,0.030500,73.314 
0.061500,233.000,0.030750,74.291 
0.062000,266.000,0.031000,74.291 
0.062500,264.000,0.031250,77.224 
0.063000,210.000,0.031500,77.224 
0.063500,309.000,0.031750,73.314 
0.064000,256.000,0.032000,74.291 
0.064500,330.000,0.032250,74.291 
0.065000,293.000,0.032500,77.224 
0.065500,267.000,0.032750,75.269 
0.066000,234.000,0.033000,73.314 
0.066500,274.000,0.033250,74.291 
0.067000,221.000,0.033500,75.269 
0.067500,280.000,0.033750,78.201 
0.068000,264.000,0.034000,77.224 
0.068500,333.000,0.034250,73.314 
0.069000,336.000,0.034500,73.314 
0.069500,341.000,0.034750,74.291 
0.070000,293.000,0.035000,74.291 
0.070500,279.000,0.035250,77.224 
0.071000,251.000,0.035500,77.224 
0.071500,255.000,0.035750,73.314 
0.072000,280.000,0.036000,73.314 
0.072500,246.000,0.036250,74.291 
0.073000,286.000,0.036500,74.291 
0.073500,275.000,0.036750,77.224 
0.074000,319.000,0.037000,77.224 
0.074500,340.000,0.037250,73.314 
0.075000,327.000,0.037500,74.291 
0.075500,313.000,0.037750,73.314 
0.076000,294.000,0.038000,74.291 
0.076500,261.000,0.038250,77.224 
0.077000,279.000,0.038500,77.224 
0.077500,267.000,0.038750,73.314 
0.078000,293.000,0.039000,73.314 
0.078500,283.000,0.039250,74.291 
0.079000,292.000,0.039500,74.291 
0.079500,313.000,0.039750,74.291 
0.080000,311.000,0.040000,77.224 
0.080500,312.000,0.040250,77.224 
0.081000,358.000,0.040500,73.314 
0.081500,223.000,0.040750,73.314 
0.082000,238.000,0.041000,73.314 
0.082500,262.000,0.041250,74.291 
0.083000,306.000,0.041500,78.201 
0.083500,263.000,0.041750,77.224 
0.084000,244.000,0.042000,73.314 
0.084500,278.000,0.042250,73.314 
0.085000,305.000,0.042500,74.291 
0.085500,289.000,0.042750,74.291 
0.086000,308.000,0.043000,74.291 
0.086500,317.000,0.043250,75.269 
0.087000,288.000,0.043500,77.224 
0.087500,270.000,0.043750,73.314 
0.088000,295.000,0.044000,73.314 
0.088500,282.000,0.044250,74.291 
0.089000,258.000,0.044500,75.269 
0.089500,232.000,0.044750,77.224 
0.090000,247.000,0.045000,73.314 
0.090500,299.000,0.045250,73.314 
0.091000,307.000,0.045500,73.314 
0.091500,285.000,0.045750,74.291 
0.092000,318.000,0.046000,77.224 
0.092500,330.000,0.046250,76.246 
0.093000,274.000,0.046500,73.314 
0.093500,253.000,0.046750,73.314 
0.094000,251.000,0.047000,74.291 
0.094500,232.000,0.047250,77.224 
0.095000,271.000,0.047500,73.314 
0.095500,238.000,0.047750,73.314 
0.096000,273.000,0.048000,74.291 
0.096500,362.000,0.048250,77.224 
0.097000,361.000,0.048500,76.246 
0.097500,307.000,0.048750,73.314 
0.098000,253.000,0.049000,74.291 
0.098500,208.000,0.049250,74.291 
0.099000,216.000,0.049500,77.224 
0.099500,212.000,0.049750,78.201 
0.100000,205.000,0.050000,74.291 
0.100500,260.000,0.050250,73.314 
0.101000,367.000,0.050500,73.314 
0.101500,286.000,0.050750,74.291 
0.102000,348.000,0.051000,75.269 
0.102500,205.000,0.051250,77.224 
0.103000,264.000,0.051500,76.246 
0.103500,271.000,0.051750,73.314 
0.104000,233.000,0.052000,73.314 
0.104500,223.000,0.052250,74.291 
0.105000,200.000,0.052500,74.291 
0.105500,233.000,0.052750,74.291 
0.106000,314.000,0.053000,77.224 
0.106500,303.000,0.053250,77.224 
0.107000,323.000,0.053500,73.314 
0.107500,344.000,0.053750,73.314 
0.108000,256.000,0.054000,73.314 
0.108500,244.000,0.054250,74.291 
0.109000,185.000,0.054500,77.224 
0.109500,237.000,0.054750,77.224 
0.110000,203.000,0.055000,73.314 
0.110500,271.000,0.055250,74.291 
0.111000,276.000,0.055500,73.314 
0.111500,374.000,0.055750,75.269 
0.112000,316.000,0.056000,74.291 
0.112500,321.000,0.056250,77.224 
