Time[s],Acceleration [mg],Force [N]  
0.0000,176.000,7.820 
0.0003,175.000,7.820 
0.0005,171.000,7.820 
0.0008,181.000,6.843 
0.0010,173.000,7.820 
0.0012,166.000,7.820 
0.0015,175.000,7.820 
0.0018,168.000,7.820 
0.0020,184.000,8.798 
0.0022,182.000,8.798 
0.0025,178.000,8.798 
0.0027,172.000,8.798 
0.0030,176.000,7.820 
0.0033,171.000,7.820 
0.0035,179.000,6.843 
0.0037,168.000,8.798 
0.0040,176.000,8.798 
0.0043,177.000,9.775 
0.0045,169.000,11.730 
0.0047,177.000,11.730 
0.0050,176.000,11.730 
0.0052,188.000,11.730 
0.0055,176.000,10.753 
0.0058,171.000,10.753 
0.0060,185.000,8.798 
0.0063,181.000,7.820 
0.0065,180.000,6.843 
0.0068,181.000,6.843 
0.0070,170.000,7.820 
0.0072,166.000,7.820 
0.0075,176.000,7.820 
0.0077,177.000,7.820 
0.0080,173.000,8.798 
0.0082,183.000,7.820 
0.0085,182.000,6.843 
0.0088,176.000,10.753 
0.0090,168.000,10.753 
0.0093,180.000,10.753 
0.0095,187.000,11.730 
0.0098,173.000,10.753 
0.0100,176.000,10.753 
0.0103,179.000,10.753 
0.0105,177.000,10.753 
0.0108,175.000,10.753 
0.0110,173.000,10.753 
0.0113,177.000,11.730 
0.0115,177.000,11.730 
0.0117,165.000,11.730 
0.0120,178.000,10.753 
0.0122,185.000,10.753 
0.0125,176.000,10.753 
0.0127,174.000,10.753 
0.0130,186.000,9.775 
0.0132,176.000,10.753 
0.0135,184.000,9.775 
0.0137,178.000,9.775 
0.0140,174.000,10.753 
0.0143,169.000,7.820 
0.0145,181.000,7.820 
0.0148,181.000,7.820 
0.0150,173.000,6.843 
0.0153,183.000,7.820 
0.0155,176.000,7.820 
0.0158,179.000,7.820 
0.0160,180.000,7.820 
0.0162,181.000,7.820 
0.0165,183.000,7.820 
0.0168,177.000,8.798 
0.0170,173.000,7.820 
0.0172,181.000,7.820 
0.0175,184.000,8.798 
0.0178,177.000,8.798 
0.0180,175.000,7.820 
0.0182,183.000,7.820 
0.0185,172.000,7.820 
0.0188,180.000,7.820 
0.0190,181.000,7.820 
0.0192,178.000,6.843 
0.0195,175.000,6.843 
0.0198,173.000,7.820 
0.0200,175.000,8.798 
0.0203,188.000,7.820 
0.0205,177.000,7.820 
0.0207,173.000,11.730 
0.0210,178.000,11.730 
0.0213,187.000,11.730 
0.0215,180.000,10.753 
0.0217,181.000,10.753 
0.0220,178.000,10.753 
0.0223,174.000,9.775 
0.0225,182.000,7.820 
0.0227,180.000,6.843 
0.0230,184.000,8.798 
0.0233,183.000,7.820 
0.0235,173.000,8.798 
0.0237,183.000,11.730 
0.0240,174.000,10.753 
0.0243,179.000,9.775 
0.0245,182.000,6.843 
0.0247,173.000,6.843 
0.0250,179.000,7.820 
0.0253,184.000,7.820 
0.0255,172.000,7.820 
0.0258,170.000,7.820 
0.0260,170.000,7.820 
0.0262,174.000,7.820 
0.0265,177.000,8.798 
0.0268,178.000,7.820 
0.0270,179.000,8.798 
0.0272,170.000,11.730 
0.0275,183.000,10.753 
0.0278,181.000,10.753 
0.0280,183.000,7.820 
0.0282,180.000,7.820 
0.0285,175.000,7.820 
0.0288,175.000,7.820 
0.0290,171.000,8.798 
0.0292,180.000,8.798 
0.0295,180.000,11.730 
0.0298,175.000,10.753 
0.0300,180.000,10.753 
0.0302,175.000,6.843 
0.0305,169.000,6.843 
0.0308,169.000,7.820 
0.0310,182.000,7.820 
0.0312,173.000,7.820 
0.0315,173.000,7.820 
0.0318,179.000,8.798 
0.0320,173.000,8.798 
0.0322,169.000,8.798 
0.0325,168.000,8.798 
0.0327,175.000,10.753 
0.0330,174.000,11.730 
0.0333,183.000,10.753 
0.0335,190.000,6.843 
0.0338,164.000,7.820 
0.0340,183.000,6.843 
0.0342,173.000,7.820 
0.0345,172.000,6.843 
0.0347,182.000,8.798 
0.0350,167.000,8.798 
0.0353,172.000,8.798 
0.0355,173.000,8.798 
0.0358,173.000,11.730 
0.0360,172.000,10.753 
0.0362,183.000,10.753 
0.0365,180.000,10.753 
0.0367,180.000,6.843 
0.0370,177.000,6.843 
0.0373,177.000,7.820 
0.0375,176.000,6.843 
0.0377,181.000,7.820 
0.0380,177.000,7.820 
0.0382,171.000,7.820 
0.0385,173.000,8.798 
0.0388,168.000,8.798 
0.0390,181.000,8.798 
0.0393,174.000,11.730 
0.0395,172.000,11.730 
0.0397,177.000,10.753 
0.0400,176.000,10.753 
0.0402,175.000,7.820 
0.0405,182.000,6.843 
0.0408,176.000,7.820 
0.0410,170.000,8.798 
0.0413,171.000,7.820 
0.0415,167.000,7.820 
0.0417,169.000,8.798 
0.0420,182.000,8.798 
0.0422,176.000,10.753 
0.0425,171.000,10.753 
0.0428,168.000,11.730 
0.0430,168.000,10.753 
0.0432,186.000,7.820 
0.0435,177.000,7.820 
0.0437,177.000,7.820 
0.0440,175.000,7.820 
0.0443,179.000,7.820 
0.0445,168.000,8.798 
0.0448,183.000,8.798 
0.0450,180.000,8.798 
0.0452,175.000,11.730 
0.0455,168.000,11.730 
0.0457,179.000,7.820 
0.0460,176.000,7.820 
0.0463,162.000,6.843 
0.0465,171.000,7.820 
0.0468,178.000,7.820 
0.0470,183.000,7.820 
0.0472,181.000,8.798 
0.0475,175.000,8.798 
0.0477,182.000,11.730 
0.0480,186.000,10.753 
0.0483,177.000,9.775 
0.0485,169.000,7.820 
0.0487,176.000,7.820 
0.0490,170.000,7.820 
0.0492,167.000,7.820 
0.0495,183.000,7.820 
0.0498,170.000,8.798 
0.0500,188.000,8.798 
0.0503,193.000,8.798 
0.0505,187.000,9.775 
0.0507,185.000,11.730 
0.0510,179.000,10.753 
0.0512,177.000,11.730 
0.0515,183.000,10.753 
0.0518,182.000,10.753 
0.0520,183.000,6.843 
0.0523,181.000,6.843 
0.0525,176.000,6.843 
0.0527,180.000,6.843 
0.0530,177.000,7.820 
0.0532,174.000,6.843 
0.0535,175.000,7.820 
0.0538,184.000,7.820 
0.0540,180.000,9.775 
0.0542,181.000,11.730 
0.0545,178.000,10.753 
0.0547,178.000,10.753 
0.0550,182.000,7.820 
0.0553,182.000,7.820 
0.0555,179.000,7.820 
0.0558,182.000,6.843 
0.0560,171.000,7.820 
0.0562,175.000,7.820 
0.0565,182.000,7.820 
0.0567,173.000,8.798 
0.0570,183.000,11.730 
0.0573,185.000,10.753 
0.0575,177.000,10.753 
0.0578,185.000,10.753 
0.0580,176.000,10.753 
0.0582,182.000,7.820 
0.0585,184.000,6.843 
0.0587,183.000,7.820 
0.0590,189.000,7.820 
0.0593,175.000,6.843 
0.0595,175.000,8.798 
0.0597,184.000,8.798 
0.0600,173.000,11.730 
0.0602,181.000,11.730 
0.0605,191.000,10.753 
0.0608,177.000,7.820 
0.0610,180.000,6.843 
0.0613,182.000,7.820 
0.0615,184.000,7.820 
0.0617,185.000,8.798 
0.0620,177.000,8.798 
0.0622,178.000,11.730 
0.0625,175.000,10.753 
0.0627,179.000,9.775 
0.0630,182.000,7.820 
0.0632,176.000,7.820 
0.0635,176.000,6.843 
0.0637,173.000,7.820 
0.0640,184.000,7.820 
0.0642,190.000,8.798 
0.0645,179.000,10.753 
0.0648,180.000,10.753 
0.0650,164.000,10.753 
0.0653,176.000,7.820 
0.0655,183.000,6.843 
0.0658,181.000,6.843 
0.0660,183.000,7.820 
0.0662,183.000,7.820 
0.0665,174.000,6.843 
0.0667,170.000,7.820 
0.0670,185.000,6.843 
0.0672,166.000,7.820 
0.0675,176.000,7.820 
0.0677,183.000,7.820 
0.0680,168.000,8.798 
0.0683,175.000,7.820 
0.0685,179.000,8.798 
0.0688,179.000,7.820 
0.0690,168.000,8.798 
0.0693,171.000,8.798 
0.0695,170.000,8.798 
0.0698,179.000,8.798 
0.0700,177.000,11.730 
0.0702,183.000,10.753 
0.0705,175.000,9.775 
0.0707,174.000,7.820 
0.0710,190.000,6.843 
0.0712,180.000,8.798 
0.0715,170.000,8.798 
0.0718,181.000,10.753 
0.0720,181.000,10.753 
0.0723,174.000,7.820 
0.0725,172.000,6.843 
0.0728,176.000,7.820 
0.0730,188.000,7.820 
0.0733,172.000,7.820 
0.0735,174.000,8.798 
0.0737,175.000,11.730 
0.0740,174.000,10.753 
0.0742,186.000,11.730 
0.0745,184.000,10.753 
0.0747,174.000,10.753 
0.0750,179.000,7.820 
0.0752,176.000,7.820 
0.0755,177.000,7.820 
0.0758,188.000,7.820 
0.0760,176.000,7.820 
0.0763,187.000,8.798 
0.0765,172.000,8.798 
0.0768,189.000,11.730 
0.0770,184.000,10.753 
0.0772,177.000,10.753 
0.0775,185.000,7.820 
0.0777,174.000,6.843 
0.0780,171.000,6.843 
0.0782,174.000,7.820 
0.0785,182.000,7.820 
0.0787,172.000,7.820 
0.0790,177.000,8.798 
0.0793,177.000,11.730 
0.0795,184.000,10.753 
0.0798,173.000,10.753 
0.0800,168.000,10.753 
0.0803,188.000,7.820 
0.0805,177.000,7.820 
0.0808,168.000,8.798 
0.0810,181.000,8.798 
0.0812,174.000,7.820 
0.0815,180.000,8.798 
0.0817,171.000,8.798 
0.0820,170.000,11.730 
0.0822,181.000,10.753 
0.0825,188.000,9.775 
0.0828,169.000,7.820 
0.0830,176.000,6.843 
0.0833,183.000,7.820 
0.0835,168.000,7.820 
0.0838,176.000,8.798 
0.0840,179.000,10.753 
0.0843,179.000,11.730 
0.0845,171.000,9.775 
0.0847,173.000,7.820 
0.0850,180.000,7.820 
0.0852,184.000,6.843 
0.0855,183.000,7.820 
0.0857,179.000,7.820 
0.0860,177.000,8.798 
0.0862,181.000,11.730 
0.0865,173.000,11.730 
0.0868,170.000,10.753 
0.0870,183.000,7.820 
0.0873,174.000,7.820 
0.0875,182.000,7.820 
0.0878,191.000,8.798 
0.0880,180.000,7.820 
0.0882,177.000,7.820 
0.0885,177.000,8.798 
0.0887,182.000,11.730 
0.0890,179.000,10.753 
0.0892,173.000,10.753 
0.0895,168.000,10.753 
0.0897,178.000,7.820 
0.0900,177.000,7.820 
