Time[s],Acceleration [mg],Force [N]  
0.0000,182.000,6.843 
0.0003,167.000,6.843 
0.0005,170.000,6.843 
0.0008,161.000,3.910 
0.0010,173.000,4.888 
0.0012,170.000,3.910 
0.0015,169.000,3.910 
0.0018,175.000,5.865 
0.0020,168.000,5.865 
0.0022,176.000,8.798 
0.0025,163.000,7.820 
0.0027,163.000,6.843 
0.0030,171.000,6.843 
0.0033,176.000,3.910 
0.0035,155.000,4.888 
0.0037,163.000,4.888 
0.0040,165.000,5.865 
0.0043,163.000,7.820 
0.0045,168.000,6.843 
0.0047,169.000,4.888 
0.0050,162.000,3.910 
0.0052,165.000,4.888 
0.0055,167.000,5.865 
0.0058,161.000,7.820 
0.0060,168.000,8.798 
0.0063,171.000,6.843 
0.0065,174.000,5.865 
0.0068,161.000,4.888 
0.0070,169.000,3.910 
0.0072,163.000,4.888 
0.0075,169.000,4.888 
0.0077,165.000,4.888 
0.0080,163.000,5.865 
0.0082,177.000,4.888 
0.0085,175.000,8.798 
0.0088,171.000,8.798 
0.0090,168.000,7.820 
0.0093,170.000,7.820 
0.0095,165.000,8.798 
0.0098,168.000,3.910 
0.0100,171.000,3.910 
0.0103,174.000,3.910 
0.0105,169.000,4.888 
0.0108,164.000,4.888 
0.0110,153.000,3.910 
0.0113,161.000,5.865 
0.0115,170.000,5.865 
0.0117,162.000,5.865 
0.0120,174.000,8.798 
0.0122,160.000,8.798 
0.0125,165.000,8.798 
0.0127,171.000,7.820 
0.0130,154.000,3.910 
0.0132,163.000,4.888 
0.0135,163.000,4.888 
0.0137,173.000,3.910 
0.0140,168.000,4.888 
0.0143,155.000,4.888 
0.0145,160.000,3.910 
0.0148,174.000,4.888 
0.0150,169.000,5.865 
0.0153,170.000,6.843 
0.0155,161.000,4.888 
0.0158,171.000,5.865 
0.0160,159.000,7.820 
0.0162,166.000,6.843 
0.0165,162.000,7.820 
0.0168,159.000,5.865 
0.0170,174.000,4.888 
0.0172,172.000,3.910 
0.0175,170.000,4.888 
0.0178,162.000,3.910 
0.0180,171.000,4.888 
0.0182,166.000,3.910 
0.0185,166.000,4.888 
0.0188,163.000,4.888 
0.0190,179.000,4.888 
0.0192,168.000,9.775 
0.0195,171.000,7.820 
0.0198,171.000,8.798 
0.0200,171.000,7.820 
0.0203,164.000,6.843 
0.0205,169.000,3.910 
0.0207,162.000,3.910 
0.0210,163.000,4.888 
0.0213,169.000,4.888 
0.0215,179.000,4.888 
0.0217,170.000,5.865 
0.0220,172.000,8.798 
0.0223,167.000,7.820 
0.0225,162.000,6.843 
0.0227,169.000,3.910 
0.0230,173.000,4.888 
0.0233,169.000,3.910 
0.0235,162.000,4.888 
0.0237,170.000,4.888 
0.0240,170.000,4.888 
0.0243,174.000,4.888 
0.0245,161.000,5.865 
0.0247,171.000,5.865 
0.0250,169.000,8.798 
0.0253,162.000,8.798 
0.0255,163.000,6.843 
0.0258,168.000,4.888 
0.0260,164.000,3.910 
0.0262,162.000,3.910 
0.0265,162.000,3.910 
0.0268,167.000,5.865 
0.0270,167.000,5.865 
0.0272,162.000,5.865 
0.0275,168.000,8.798 
0.0278,165.000,7.820 
0.0280,173.000,6.843 
0.0282,172.000,5.865 
0.0285,159.000,3.910 
0.0288,168.000,3.910 
0.0290,170.000,3.910 
0.0292,164.000,3.910 
0.0295,163.000,3.910 
0.0298,167.000,4.888 
0.0300,167.000,5.865 
0.0302,162.000,4.888 
0.0305,167.000,8.798 
0.0308,176.000,7.820 
0.0310,168.000,6.843 
0.0312,165.000,3.910 
0.0315,166.000,4.888 
0.0318,163.000,4.888 
0.0320,167.000,4.888 
0.0322,164.000,4.888 
0.0325,166.000,5.865 
0.0327,157.000,8.798 
0.0330,179.000,9.775 
0.0333,172.000,8.798 
0.0335,173.000,6.843 
0.0338,170.000,8.798 
0.0340,162.000,6.843 
0.0342,167.000,8.798 
0.0345,174.000,3.910 
0.0347,169.000,3.910 
0.0350,166.000,3.910 
0.0353,161.000,3.910 
0.0355,172.000,3.910 
0.0358,155.000,3.910 
0.0360,158.000,4.888 
0.0362,162.000,4.888 
0.0365,168.000,3.910 
0.0367,159.000,5.865 
0.0370,170.000,4.888 
0.0373,163.000,4.888 
0.0375,172.000,3.910 
0.0377,170.000,4.888 
0.0380,167.000,4.888 
0.0382,178.000,4.888 
0.0385,163.000,5.865 
0.0388,166.000,5.865 
0.0390,176.000,5.865 
0.0393,175.000,5.865 
0.0395,162.000,5.865 
0.0397,168.000,8.798 
0.0400,158.000,8.798 
0.0402,173.000,8.798 
0.0405,166.000,8.798 
0.0408,168.000,7.820 
0.0410,170.000,7.820 
0.0413,164.000,7.820 
0.0415,160.000,3.910 
0.0417,172.000,3.910 
0.0420,164.000,2.933 
0.0422,167.000,3.910 
0.0425,174.000,3.910 
0.0428,175.000,4.888 
0.0430,164.000,3.910 
0.0432,161.000,4.888 
0.0435,181.000,4.888 
0.0437,166.000,4.888 
0.0440,162.000,4.888 
0.0443,160.000,4.888 
0.0445,172.000,4.888 
0.0448,172.000,5.865 
0.0450,172.000,5.865 
0.0452,174.000,6.843 
0.0455,173.000,6.843 
0.0457,172.000,5.865 
0.0460,166.000,6.843 
0.0463,156.000,6.843 
0.0465,168.000,8.798 
0.0468,158.000,7.820 
0.0470,165.000,6.843 
0.0472,166.000,3.910 
0.0475,172.000,2.933 
0.0477,166.000,3.910 
0.0480,172.000,4.888 
0.0483,168.000,3.910 
0.0485,159.000,4.888 
0.0487,162.000,4.888 
0.0490,166.000,5.865 
0.0492,162.000,5.865 
0.0495,179.000,6.843 
0.0498,162.000,8.798 
0.0500,161.000,6.843 
0.0503,165.000,8.798 
0.0505,162.000,7.820 
0.0507,171.000,6.843 
0.0510,164.000,6.843 
0.0512,164.000,7.820 
0.0515,171.000,6.843 
0.0518,172.000,6.843 
0.0520,159.000,6.843 
0.0523,163.000,7.820 
0.0525,161.000,6.843 
0.0527,171.000,3.910 
0.0530,167.000,3.910 
0.0532,172.000,3.910 
0.0535,171.000,3.910 
0.0538,168.000,3.910 
0.0540,172.000,3.910 
0.0542,166.000,2.933 
0.0545,164.000,4.888 
0.0547,170.000,4.888 
0.0550,159.000,3.910 
0.0553,166.000,4.888 
0.0555,163.000,3.910 
0.0558,162.000,4.888 
0.0560,173.000,5.865 
0.0562,168.000,6.843 
0.0565,167.000,5.865 
0.0567,169.000,6.843 
0.0570,162.000,5.865 
0.0573,162.000,6.843 
0.0575,162.000,8.798 
0.0578,162.000,8.798 
0.0580,163.000,7.820 
0.0582,166.000,7.820 
0.0585,174.000,7.820 
0.0587,164.000,6.843 
0.0590,171.000,7.820 
0.0593,166.000,5.865 
0.0595,166.000,3.910 
0.0597,171.000,3.910 
0.0600,163.000,3.910 
0.0602,174.000,4.888 
0.0605,164.000,4.888 
0.0608,161.000,4.888 
0.0610,163.000,5.865 
0.0613,178.000,7.820 
0.0615,170.000,7.820 
0.0617,164.000,7.820 
0.0620,158.000,6.843 
0.0622,169.000,6.843 
0.0625,171.000,7.820 
0.0627,164.000,6.843 
0.0630,163.000,6.843 
0.0632,168.000,7.820 
0.0635,169.000,6.843 
0.0637,169.000,7.820 
0.0640,166.000,6.843 
0.0642,162.000,8.798 
0.0645,157.000,7.820 
0.0648,173.000,7.820 
0.0650,166.000,8.798 
0.0653,165.000,6.843 
0.0655,177.000,7.820 
0.0658,162.000,4.888 
0.0660,165.000,3.910 
0.0662,165.000,5.865 
0.0665,164.000,3.910 
0.0667,164.000,3.910 
0.0670,161.000,2.933 
0.0672,159.000,4.888 
0.0675,169.000,3.910 
0.0677,173.000,4.888 
0.0680,172.000,4.888 
0.0683,160.000,3.910 
0.0685,168.000,4.888 
0.0688,175.000,4.888 
0.0690,170.000,4.888 
0.0693,167.000,5.865 
0.0695,170.000,8.798 
0.0698,164.000,8.798 
0.0700,165.000,6.843 
0.0702,171.000,6.843 
0.0705,165.000,7.820 
0.0707,168.000,4.888 
0.0710,168.000,3.910 
0.0712,170.000,4.888 
0.0715,166.000,3.910 
0.0718,155.000,5.865 
0.0720,177.000,5.865 
0.0723,166.000,6.843 
0.0725,164.000,7.820 
0.0728,165.000,8.798 
0.0730,168.000,8.798 
0.0733,170.000,6.843 
0.0735,167.000,8.798 
0.0737,168.000,6.843 
0.0740,177.000,4.888 
0.0742,166.000,3.910 
0.0745,158.000,3.910 
0.0747,168.000,4.888 
0.0750,158.000,4.888 
0.0752,169.000,4.888 
0.0755,162.000,5.865 
0.0758,167.000,8.798 
0.0760,169.000,8.798 
0.0763,165.000,7.820 
0.0765,164.000,7.820 
0.0768,170.000,8.798 
0.0770,162.000,7.820 
0.0772,171.000,7.820 
0.0775,168.000,6.843 
0.0777,163.000,4.888 
0.0780,166.000,3.910 
0.0782,172.000,3.910 
0.0785,163.000,3.910 
0.0787,169.000,3.910 
0.0790,173.000,5.865 
0.0793,170.000,4.888 
0.0795,161.000,5.865 
0.0798,167.000,5.865 
0.0800,167.000,7.820 
0.0803,173.000,8.798 
0.0805,162.000,8.798 
0.0808,170.000,7.820 
0.0810,162.000,7.820 
0.0812,156.000,7.820 
0.0815,162.000,7.820 
0.0817,170.000,7.820 
0.0820,176.000,6.843 
0.0822,165.000,3.910 
0.0825,158.000,3.910 
0.0828,171.000,3.910 
0.0830,163.000,4.888 
0.0833,167.000,5.865 
0.0835,166.000,3.910 
0.0838,161.000,4.888 
0.0840,172.000,5.865 
0.0843,167.000,8.798 
0.0845,163.000,6.843 
0.0847,158.000,3.910 
0.0850,173.000,4.888 
0.0852,165.000,4.888 
0.0855,159.000,3.910 
0.0857,168.000,5.865 
0.0860,167.000,5.865 
0.0862,156.000,8.798 
0.0865,163.000,7.820 
0.0868,162.000,3.910 
0.0870,166.000,3.910 
0.0873,163.000,3.910 
0.0875,155.000,4.888 
0.0878,161.000,6.843 
0.0880,162.000,8.798 
0.0882,177.000,8.798 
0.0885,169.000,7.820 
0.0887,158.000,4.888 
0.0890,163.000,3.910 
0.0892,161.000,4.888 
0.0895,157.000,5.865 
0.0897,160.000,6.843 
0.0900,170.000,7.820 
0.0903,163.000,7.820 
0.0905,167.000,4.888 
0.0908,162.000,4.888 
0.0910,167.000,3.910 
0.0913,179.000,4.888 
0.0915,164.000,4.888 
0.0918,174.000,4.888 
0.0920,160.000,6.843 
0.0922,170.000,8.798 
0.0925,167.000,7.820 
0.0927,167.000,7.820 
0.0930,167.000,5.865 
0.0932,159.000,3.910 
0.0935,164.000,3.910 
0.0938,172.000,3.910 
0.0940,175.000,3.910 
0.0943,170.000,5.865 
0.0945,169.000,5.865 
0.0948,154.000,5.865 
0.0950,169.000,8.798 
0.0953,161.000,6.843 
0.0955,169.000,7.820 
0.0957,167.000,6.843 
0.0960,164.000,4.888 
0.0962,167.000,3.910 
0.0965,157.000,4.888 
0.0967,164.000,4.888 
0.0970,178.000,5.865 
0.0972,169.000,5.865 
0.0975,161.000,8.798 
0.0978,167.000,7.820 
0.0980,171.000,7.820 
0.0983,174.000,4.888 
0.0985,167.000,3.910 
0.0988,165.000,4.888 
0.0990,160.000,3.910 
0.0993,162.000,4.888 
0.0995,173.000,4.888 
0.0997,172.000,5.865 
0.1000,171.000,6.843 
0.1002,172.000,7.820 
0.1005,159.000,6.843 
0.1007,164.000,6.843 
0.1010,166.000,7.820 
0.1013,168.000,6.843 
0.1015,166.000,6.843 
0.1018,173.000,6.843 
0.1020,159.000,3.910 
0.1023,165.000,3.910 
0.1025,162.000,3.910 
0.1028,174.000,4.888 
0.1030,173.000,3.910 
0.1032,158.000,4.888 
0.1035,164.000,4.888 
0.1037,172.000,3.910 
0.1040,157.000,3.910 
0.1042,162.000,3.910 
0.1045,161.000,4.888 
0.1047,161.000,4.888 
0.1050,162.000,4.888 
0.1053,178.000,3.910 
0.1055,173.000,3.910 
0.1058,166.000,4.888 
0.1060,169.000,4.888 
0.1063,177.000,4.888 
0.1065,159.000,3.910 
0.1067,171.000,3.910 
0.1070,167.000,3.910 
0.1072,169.000,4.888 
0.1075,167.000,4.888 
0.1077,175.000,3.910 
0.1080,159.000,4.888 
0.1082,174.000,4.888 
0.1085,170.000,4.888 
0.1088,174.000,3.910 
0.1090,164.000,5.865 
0.1093,171.000,5.865 
0.1095,166.000,6.843 
0.1098,172.000,5.865 
0.1100,171.000,5.865 
0.1103,171.000,6.843 
0.1105,171.000,5.865 
0.1107,160.000,5.865 
0.1110,164.000,7.820 
0.1112,165.000,8.798 
0.1115,166.000,7.820 
0.1117,172.000,6.843 
0.1120,169.000,6.843 
0.1123,170.000,2.933 
0.1125,155.000,3.910 
0.1128,161.000,3.910 
0.1130,168.000,3.910 
0.1133,157.000,5.865 
0.1135,172.000,3.910 
0.1138,162.000,4.888 
0.1140,169.000,3.910 
0.1142,178.000,5.865 
0.1145,174.000,5.865 
0.1147,165.000,7.820 
0.1150,171.000,8.798 
0.1152,162.000,6.843 
0.1155,166.000,3.910 
0.1157,164.000,3.910 
0.1160,162.000,4.888 
0.1163,162.000,4.888 
0.1165,178.000,4.888 
0.1168,173.000,5.865 
0.1170,163.000,7.820 
0.1173,179.000,7.820 
0.1175,167.000,6.843 
0.1177,169.000,4.888 
0.1180,173.000,4.888 
0.1182,161.000,4.888 
0.1185,169.000,4.888 
0.1187,165.000,5.865 
0.1190,162.000,5.865 
0.1192,159.000,9.775 
0.1195,168.000,7.820 
0.1198,173.000,3.910 
0.1200,165.000,3.910 
0.1203,163.000,3.910 
0.1205,171.000,4.888 
0.1208,167.000,4.888 
0.1210,169.000,5.865 
0.1213,164.000,8.798 
0.1215,173.000,6.843 
0.1217,165.000,7.820 
0.1220,169.000,3.910 
0.1222,177.000,3.910 
0.1225,162.000,3.910 
0.1227,165.000,5.865 
0.1230,169.000,9.775 
0.1233,177.000,7.820 
0.1235,163.000,6.843 
0.1238,163.000,3.910 
0.1240,157.000,4.888 
0.1243,164.000,4.888 
0.1245,171.000,4.888 
0.1248,166.000,5.865 
0.1250,174.000,5.865 
0.1252,172.000,5.865 
0.1255,163.000,7.820 
0.1258,163.000,7.820 
0.1260,167.000,7.820 
0.1262,160.000,4.888 
0.1265,166.000,3.910 
0.1268,174.000,3.910 
0.1270,167.000,4.888 
0.1273,167.000,4.888 
0.1275,167.000,5.865 
0.1277,172.000,4.888 
0.1280,168.000,4.888 
0.1283,166.000,5.865 
0.1285,170.000,8.798 
0.1287,169.000,7.820 
0.1290,172.000,6.843 
0.1293,170.000,7.820 
0.1295,165.000,7.820 
0.1297,167.000,4.888 
0.1300,162.000,4.888 
0.1303,168.000,3.910 
0.1305,167.000,3.910 
0.1308,164.000,4.888 
0.1310,162.000,3.910 
0.1312,167.000,3.910 
0.1315,181.000,4.888 
0.1318,158.000,4.888 
0.1320,173.000,4.888 
0.1322,165.000,4.888 
0.1325,170.000,6.843 
0.1328,167.000,5.865 
0.1330,166.000,5.865 
0.1332,163.000,9.775 
0.1335,163.000,8.798 
0.1338,158.000,7.820 
0.1340,159.000,6.843 
0.1343,167.000,4.888 
0.1345,164.000,3.910 
0.1347,162.000,2.933 
0.1350,163.000,3.910 
0.1353,161.000,4.888 
0.1355,167.000,3.910 
0.1357,158.000,4.888 
0.1360,171.000,3.910 
0.1363,160.000,3.910 
0.1365,170.000,4.888 
0.1367,166.000,4.888 
0.1370,159.000,5.865 
0.1373,163.000,5.865 
0.1375,161.000,8.798 
0.1377,162.000,7.820 
0.1380,173.000,3.910 
0.1382,176.000,4.888 
0.1385,162.000,3.910 
0.1388,170.000,5.865 
0.1390,173.000,3.910 
0.1392,168.000,5.865 
0.1395,162.000,6.843 
0.1398,166.000,7.820 
0.1400,171.000,6.843 
0.1402,161.000,4.888 
0.1405,160.000,4.888 
0.1408,166.000,4.888 
0.1410,173.000,4.888 
0.1412,168.000,4.888 
0.1415,162.000,4.888 
0.1417,161.000,4.888 
0.1420,163.000,5.865 
0.1423,165.000,7.820 
0.1425,163.000,7.820 
0.1427,169.000,6.843 
0.1430,174.000,6.843 
0.1433,167.000,3.910 
0.1435,169.000,4.888 
0.1437,170.000,3.910 
0.1440,165.000,4.888 
0.1443,167.000,4.888 
0.1445,170.000,5.865 
0.1447,157.000,5.865 
0.1450,175.000,8.798 
0.1452,170.000,8.798 
0.1455,167.000,6.843 
0.1458,164.000,4.888 
0.1460,171.000,2.933 
0.1462,162.000,4.888 
0.1465,162.000,4.888 
0.1468,161.000,6.843 
0.1470,169.000,9.775 
0.1472,174.000,7.820 
0.1475,167.000,3.910 
0.1478,165.000,3.910 
0.1480,162.000,3.910 
0.1482,173.000,5.865 
0.1485,165.000,5.865 
0.1488,167.000,5.865 
0.1490,167.000,5.865 
0.1493,152.000,7.820 
0.1495,169.000,7.820 
0.1497,167.000,7.820 
0.1500,164.000,7.820 
0.1503,177.000,6.843 
0.1505,166.000,3.910 
