Time[s],Acceleration [mg],Force [N]  
0.0000,114.000,8.798 
0.0003,98.000,8.798 
0.0005,94.000,10.753 
0.0008,70.000,10.753 
0.0010,88.000,8.798 
0.0012,94.000,11.730 
0.0015,106.000,9.775 
0.0018,104.000,8.798 
0.0020,114.000,8.798 
0.0022,113.000,8.798 
0.0025,103.000,7.820 
0.0027,82.000,8.798 
0.0030,74.000,8.798 
0.0033,79.000,8.798 
0.0035,83.000,7.820 
0.0037,101.000,8.798 
0.0040,102.000,7.820 
0.0043,109.000,7.820 
0.0045,101.000,7.820 
0.0047,95.000,8.798 
0.0050,87.000,7.820 
0.0052,84.000,7.820 
0.0055,91.000,7.820 
0.0058,90.000,7.820 
0.0060,100.000,7.820 
0.0063,117.000,7.820 
0.0065,123.000,7.820 
0.0068,126.000,7.820 
0.0070,108.000,7.820 
0.0072,101.000,6.843 
0.0075,96.000,7.820 
0.0077,86.000,7.820 
0.0080,89.000,7.820 
0.0082,104.000,7.820 
0.0085,120.000,7.820 
0.0088,122.000,9.775 
0.0090,122.000,10.753 
0.0093,112.000,11.730 
0.0095,96.000,10.753 
0.0098,110.000,11.730 
0.0100,102.000,11.730 
0.0103,112.000,10.753 
0.0105,114.000,11.730 
0.0108,121.000,11.730 
0.0110,129.000,11.730 
0.0113,134.000,9.775 
0.0115,-249.000,7.820 
0.0117,367.000,8.798 
0.0120,-3.000,7.820 
0.0122,784.000,7.820 
0.0125,-183.000,7.820 
0.0127,75.000,7.820 
0.0130,-290.000,7.820 
0.0132,188.000,7.820 
0.0135,15.000,10.753 
0.0137,477.000,11.730 
0.0140,-156.000,11.730 
0.0143,150.000,11.730 
0.0145,163.000,11.730 
0.0148,217.000,11.730 
0.0150,278.000,11.730 
0.0153,-55.000,7.820 
0.0155,111.000,7.820 
0.0158,58.000,8.798 
0.0160,247.000,8.798 
0.0162,177.000,7.820 
0.0165,103.000,7.820 
0.0168,162.000,7.820 
0.0170,62.000,7.820 
0.0172,171.000,8.798 
0.0175,109.000,7.820 
0.0178,89.000,7.820 
0.0180,115.000,6.843 
0.0182,163.000,7.820 
0.0185,197.000,10.753 
0.0188,148.000,9.775 
0.0190,138.000,11.730 
0.0192,100.000,11.730 
0.0195,150.000,11.730 
0.0198,104.000,8.798 
0.0200,117.000,8.798 
0.0203,131.000,8.798 
0.0205,123.000,8.798 
0.0207,165.000,8.798 
0.0210,128.000,7.820 
0.0213,150.000,6.843 
0.0215,116.000,7.820 
0.0217,102.000,6.843 
0.0220,111.000,6.843 
0.0223,148.000,7.820 
0.0225,153.000,7.820 
0.0227,139.000,7.820 
0.0230,148.000,7.820 
0.0233,109.000,10.753 
0.0235,137.000,10.753 
0.0237,143.000,10.753 
0.0240,165.000,10.753 
0.0243,173.000,10.753 
0.0245,194.000,11.730 
0.0247,233.000,11.730 
0.0250,247.000,11.730 
0.0253,264.000,9.775 
0.0255,272.000,9.775 
0.0258,216.000,8.798 
0.0260,255.000,7.820 
0.0262,304.000,8.798 
0.0265,321.000,7.820 
0.0268,366.000,8.798 
0.0270,414.000,7.820 
0.0272,405.000,7.820 
0.0275,468.000,7.820 
0.0278,447.000,7.820 
0.0280,486.000,7.820 
0.0282,549.000,7.820 
0.0285,605.000,7.820 
0.0288,650.000,7.820 
0.0290,718.000,7.820 
0.0292,774.000,7.820 
0.0295,841.000,7.820 
0.0298,800.000,7.820 
0.0300,919.000,7.820 
0.0302,975.000,7.820 
0.0305,989.000,7.820 
0.0308,1050.000,7.820 
0.0310,1098.000,6.843 
0.0312,1220.000,9.775 
0.0315,1257.000,7.820 
0.0318,1231.000,7.820 
0.0320,1363.000,7.820 
0.0322,1453.000,7.820 
0.0325,1490.000,9.775 
0.0327,1589.000,7.820 
0.0330,1599.000,7.820 
0.0333,1690.000,6.843 
0.0335,1715.000,7.820 
0.0338,1759.000,9.775 
0.0340,1838.000,10.753 
0.0342,1865.000,10.753 
0.0345,1921.000,10.753 
0.0347,1942.000,10.753 
0.0350,2000.000,10.753 
0.0353,2068.000,10.753 
0.0355,2106.000,10.753 
0.0358,2114.000,10.753 
0.0360,2180.000,11.730 
0.0362,2212.000,8.798 
0.0365,2248.000,8.798 
0.0367,2279.000,8.798 
0.0370,2328.000,8.798 
0.0373,2358.000,8.798 
0.0375,2330.000,8.798 
0.0377,2345.000,9.775 
