Time[s],Acceleration [mg],Force [N]  
0.0000,151.000,0.000 
0.0003,75.000,0.000 
0.0005,69.000,0.000 
0.0008,79.000,0.000 
0.0010,93.000,0.000 
0.0012,97.000,0.000 
0.0015,98.000,0.000 
0.0018,97.000,0.000 
0.0020,89.000,0.000 
0.0022,90.000,0.000 
0.0025,93.000,0.000 
0.0027,71.000,0.000 
0.0030,77.000,0.000 
0.0033,88.000,0.000 
0.0035,94.000,0.000 
0.0037,96.000,0.000 
0.0040,93.000,0.000 
0.0043,94.000,0.000 
0.0045,87.000,0.000 
0.0047,64.000,0.000 
0.0050,63.000,0.000 
0.0052,75.000,0.000 
0.0055,75.000,0.000 
0.0058,81.000,0.000 
0.0060,97.000,0.000 
0.0063,92.000,0.000 
0.0065,101.000,0.000 
0.0068,90.000,0.000 
0.0070,77.000,0.000 
0.0072,84.000,0.000 
0.0075,81.000,0.000 
0.0077,88.000,0.000 
0.0080,78.000,0.000 
0.0082,102.000,0.000 
0.0085,100.000,0.000 
0.0088,93.000,0.000 
0.0090,95.000,0.000 
0.0093,68.000,0.000 
0.0095,65.000,0.000 
0.0098,81.000,0.000 
0.0100,76.000,0.000 
0.0103,94.000,0.000 
0.0105,85.000,0.000 
0.0108,93.000,0.000 
0.0110,88.000,0.000 
0.0113,81.000,0.000 
0.0115,75.000,0.000 
0.0117,68.000,0.000 
0.0120,74.000,0.000 
0.0122,81.000,0.000 
0.0125,90.000,0.000 
0.0127,95.000,0.000 
0.0130,99.000,0.000 
0.0132,107.000,0.000 
0.0135,94.000,0.000 
0.0137,80.000,0.000 
0.0140,90.000,0.000 
0.0143,84.000,0.000 
0.0145,89.000,0.000 
0.0148,81.000,0.000 
0.0150,92.000,0.000 
0.0153,97.000,0.000 
0.0155,89.000,0.000 
0.0158,85.000,0.000 
0.0160,78.000,0.000 
0.0162,69.000,0.000 
0.0165,62.000,0.000 
0.0168,58.000,0.000 
0.0170,81.000,0.000 
0.0172,81.000,0.000 
0.0175,92.000,0.000 
0.0178,75.000,0.000 
0.0180,90.000,0.000 
0.0182,88.000,0.000 
0.0185,83.000,0.000 
0.0188,74.000,0.000 
0.0190,82.000,0.000 
0.0192,80.000,0.000 
0.0195,92.000,0.000 
0.0198,102.000,0.000 
0.0200,98.000,0.000 
0.0203,98.000,0.000 
0.0205,90.000,0.000 
0.0207,81.000,0.000 
0.0210,76.000,0.000 
0.0213,70.000,0.000 
0.0215,79.000,0.000 
0.0217,82.000,0.000 
0.0220,93.000,0.000 
0.0223,85.000,0.000 
0.0225,81.000,0.000 
0.0227,70.000,0.000 
0.0230,70.000,0.000 
0.0233,68.000,0.000 
0.0235,75.000,0.000 
0.0237,70.000,0.000 
0.0240,90.000,0.000 
0.0243,90.000,0.000 
0.0245,88.000,0.000 
0.0247,97.000,0.000 
0.0250,94.000,0.000 
0.0253,84.000,0.000 
0.0255,88.000,0.000 
0.0258,80.000,0.000 
0.0260,91.000,0.000 
0.0262,82.000,0.000 
0.0265,81.000,0.000 
0.0268,90.000,0.000 
0.0270,89.000,0.000 
0.0272,75.000,0.000 
0.0275,69.000,0.000 
0.0278,66.000,0.000 
0.0280,66.000,0.000 
0.0282,65.000,0.000 
0.0285,66.000,0.000 
0.0288,81.000,0.000 
0.0290,81.000,0.000 
0.0292,83.000,0.000 
0.0295,79.000,0.000 
0.0298,80.000,0.000 
0.0300,78.000,0.000 
0.0302,76.000,0.000 
0.0305,74.000,0.000 
0.0308,81.000,0.000 
0.0310,98.000,0.000 
0.0312,104.000,0.000 
0.0315,99.000,0.000 
0.0318,111.000,0.000 
0.0320,106.000,0.000 
0.0322,104.000,0.000 
0.0325,89.000,0.000 
0.0327,89.000,0.000 
0.0330,107.000,0.000 
0.0333,128.000,0.000 
0.0335,137.000,0.000 
0.0338,131.000,0.000 
0.0340,129.000,0.000 
0.0342,131.000,0.000 
0.0345,134.000,0.000 
0.0347,150.000,0.000 
0.0350,157.000,0.000 
0.0353,170.000,0.000 
0.0355,195.000,0.000 
0.0358,208.000,0.000 
0.0360,245.000,0.000 
0.0362,263.000,0.000 
0.0365,257.000,0.000 
0.0367,260.000,0.000 
0.0370,246.000,0.000 
0.0373,266.000,0.000 
0.0375,283.000,0.000 
0.0377,288.000,0.000 
0.0380,288.000,0.000 
0.0382,283.000,0.000 
0.0385,286.000,0.000 
0.0388,281.000,0.000 
0.0390,295.000,0.000 
0.0393,296.000,0.000 
0.0395,301.000,0.000 
0.0397,298.000,0.000 
0.0400,314.000,0.000 
0.0402,342.000,0.000 
0.0405,377.000,0.000 
0.0408,352.000,0.000 
0.0410,357.000,0.000 
0.0413,377.000,0.000 
0.0415,424.000,0.000 
0.0417,464.000,0.000 
0.0420,507.000,0.000 
0.0422,564.000,0.000 
0.0425,627.000,0.000 
0.0428,658.000,0.000 
0.0430,739.000,0.000 
0.0432,750.000,0.000 
0.0435,890.000,0.000 
0.0437,1062.000,0.000 
0.0440,1153.000,0.000 
0.0443,1188.000,0.000 
0.0445,1219.000,0.000 
